leftArm	 a 	 d 	 alpha 	 offset
headTriangle3 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle4 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle5 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle6 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle7 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle8 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle12 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle13 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle15 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle16 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle17 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle18 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle19 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle20 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle21 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle22 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle23 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle24 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle28 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle29 0.00000000 0.00000000 0.00000000 0.00000000
headTriangle31 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel0_0 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel0_1 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel0_2 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel0_3 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel0_4 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel0_5 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel0_7 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel0_8 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel0_9 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel0_11 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel1_0 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel1_1 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel1_2 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel1_3 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel1_4 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel1_5 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel1_7 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel1_8 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel1_9 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel1_11 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel2_0 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel2_1 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel2_2 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel2_3 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel2_4 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel2_5 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel2_7 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel2_8 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel2_9 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel2_11 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel3_0 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel3_1 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel3_2 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel3_3 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel3_4 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel3_5 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel3_7 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel3_8 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel3_9 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel3_11 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel4_0 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel4_1 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel4_2 0.00000000 0.00000000 0.00000000 0.00000000
