leftArm	 a 	 d 	 alpha 	 offset
torsoTaxel12_11 -0.00066701 0.00272677 0.00564597 0.00000000 0.00000000 0.00000000
torsoTaxel13_0 -0.00147011 0.00273007 -0.00567533 0.00000000 0.00000000 0.00000000
torsoTaxel13_1 -0.00006446 -0.00013788 -0.01127959 0.00000000 0.00000000 0.00000000
torsoTaxel13_2 0.00159077 -0.00290601 -0.00554053 0.00000000 0.00000000 0.00000000
torsoTaxel13_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel13_4 0.00279081 -0.00585358 0.00006808 0.00000000 0.00000000 0.00000000
torsoTaxel13_5 0.00373658 -0.00910741 0.00569316 0.00000000 0.00000000 0.00000000
torsoTaxel13_7 0.00127783 -0.00295035 0.00569563 0.00000000 0.00000000 0.00000000
torsoTaxel13_8 -0.00176243 0.00271644 0.00567087 0.00000000 0.00000000 0.00000000
torsoTaxel13_9 -0.00563097 0.00796217 0.00558033 0.00000000 0.00000000 0.00000000
torsoTaxel13_11 -0.00340213 0.00557221 0.00000394 0.00000000 0.00000000 0.00000000
torsoTaxel14_0 0.00000550 -0.00313790 0.00565550 0.00000000 0.00000000 0.00000000
torsoTaxel14_1 -0.00021850 0.00004981 0.01130226 0.00000000 0.00000000 0.00000000
torsoTaxel14_2 -0.00007639 0.00333078 0.00556696 0.00000000 0.00000000 0.00000000
torsoTaxel14_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel14_4 -0.00007225 0.00649488 -0.00001392 0.00000000 0.00000000 0.00000000
torsoTaxel14_5 -0.00039341 0.00968538 -0.00567872 0.00000000 0.00000000 0.00000000
torsoTaxel14_7 -0.00016471 0.00318961 -0.00570062 0.00000000 0.00000000 0.00000000
torsoTaxel14_8 -0.00009790 -0.00330002 -0.00563972 0.00000000 0.00000000 0.00000000
torsoTaxel14_9 -0.00029287 -0.00991364 -0.00557575 0.00000000 0.00000000 0.00000000
torsoTaxel14_11 0.00001094 -0.00654295 0.00007063 0.00000000 0.00000000 0.00000000
torsoTaxel15_0 0.00000379 -0.00644771 0.00001590 0.00000000 0.00000000 0.00000000
torsoTaxel15_1 0.00011267 -0.00968700 0.00564830 0.00000000 0.00000000 0.00000000
torsoTaxel15_2 0.00030442 -0.00317791 0.00557767 0.00000000 0.00000000 0.00000000
torsoTaxel15_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel15_4 0.00022564 0.00330887 0.00547903 0.00000000 0.00000000 0.00000000
torsoTaxel15_5 -0.00015877 0.00983761 0.00549000 0.00000000 0.00000000 0.00000000
torsoTaxel15_7 -0.00020708 0.00650309 -0.00014497 0.00000000 0.00000000 0.00000000
torsoTaxel15_8 -0.00045586 0.00316530 -0.00578774 0.00000000 0.00000000 0.00000000
